企业名称,招聘岗位,工作城市,工作区域,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘人数,招聘类别,初级分类,公司地点,工作地点,招聘发布日期,招聘结束日期,招聘发布年份,招聘结束年份,来源
重庆享哆味餐饮管理有限公司,数据分析师（人力）,重庆,渝北,5000.0,7000.0,岗位职责： 1、负责前期门店数据模型搭建、BI看板搭建； 2、对前台门店数据进行监控，发现问题并推动问题的改善； 3、负责数据统计和分析，并形成日、周、月数据分析报告。 任职要求： 1、本科及以上学历，有过餐饮连锁行业、零售行业优先； 2、具备人力门店数据模型搭建经验、分析经验； 3、具备责任心和良好的团队协作精神，乐于沟通交流和分享，充满激情，乐于接受挑战； 4、具有清晰的逻辑思维能力，良好的沟通表达能力； 5、具有良好的执行力和时间管理能力。 注：此岗位前期一个月左右会在璧山，后面就会坐班在渝北,本科,1-3年,1,全职,,重科智谷B座享哆味,重科智谷B座享哆味,2023-06-21,2023-07-22,2023,2023.0,智联招聘
麦可思数据科技(成都)有限公司,数据分析师,成都,,9000.0,14000.0,岗位职责： 1、负责各类项目数据清理、分析、建模，并撰写数据分析报告； 2、负责定制化项目设计，根据客户需求，设计分析方案； 3、参与产品设计（包括需求分析、问卷/大纲设计、报告设计等）； 4、参与产品升级（包括了解用户反馈、跟踪产品表现、产品设计升级）。 任职要求: 1、本科及以上学历，理工科相关专业；经验不限； 2、熟悉SAS/SPSS/R、Excel、PPT等常用工具，了解常用统计分析方法； 3、注重细节，对数据有高度敏感性和洞察力； 4、逻辑性强，具备快速学习和分析能力； 5、具有良好的沟通能力和团队协作精神。 你将获得： 1、毕业后签订劳动合同，购买社保及公积金； 2、专业团队，足够大的成长空间； 3、绩效奖金、午餐补贴、节日福利、年度体检、下午茶等。 【部门概述】 数据分析部，是麦可思的数据挖掘中心，是麦可思产品交付的出口，主要业务有产品设计、数据建模分析、项目报告撰写，另外我们还负责麦可思学院培训授课。如果你热衷于从海量数据中抓取宝贵信息，善于发现问题、总结、演讲与沟通，同时，相信数据对教育带来的变革，这里都将是你展现自我的舞台。,本科,1-3年,3,全职,,成都双流区双流区双兴大道1号电子科大科技园D7-2,成都双流区双流区双兴大道1号电子科大科技园D7-2,2023-04-24,2023-05-25,2023,2023.0,智联招聘
猩球光年(成都)科技有限责任公司,数据分析师,成都,武侯,10000.0,15000.0,"岗位职责：1、与业务团队密切沟通，确定并承接远程工作项目。2、负责项目的定制化需求，提供相关数据支持，满足项目的潜在及延展性需要。3、分析数据并进行多角度挖掘，提供数据层面的策略指导。4、与相关执行人员协调沟通，保证数据分析的准确、有效。 岗位要求：1、具有较强的商业逻辑和策略分析能力，关注细节的同时能够保持战略格局观。2、良好的数据分析技能和数据敏感性，熟练使用Excel等工具，SQL为加分项但非必须。3、具备远程工作经验，且完成过至少一项远程工作项目。4、熟悉数据分析远程工作项目从承接到完成的工作流程。5、具备较强的学习和沟通能力, 具有团队协作精神。 岗位福利：1、免费享受公司业务覆盖范围内各个旅游城市、特色乡村的居住房间。2、酌情提供旅居当地美食套餐、景点门票、交通费用等。3、无固定工作时间，项目成果导向。4、结识来自全国各地不同职业背景的伙伴。",大专,1-3年,1,全职,,天府新谷10号楼,天府新谷10号楼,2023-04-05,2023-05-06,2023,2023.0,智联招聘
天津三英精密仪器股份有限公司,重建算法工程师,天津,东丽,13000.0,22000.0,岗位职责：1.负责投影数据校正和三维重建算法的设计与验证；2.负责算法模块的设计开发与验证。任职要求：1.计算机、自动化、电子信息相关专业硕士及以上学历；2.掌握辐射成像基础、CT成像原理、数据校正和重建算法，熟悉图像质量评价方法；3.熟练使用Matlab、C/C++编程语言和开发工具，掌握软件开发的一般流程和代码管理方法；4.熟练掌握常用辐射成像数据校正、重建算法，熟练掌握算法性能评价的实验设计和数据处理方法，熟练掌握常用CPU、GPU加速方法；5.具备独立编写完整设计文档的能力，能够阅读英文技术文档和维护技术说明书；6.工作踏实认真，具备独立分析、思考和解决问题的能力，以及良好的沟通能力。具备以下条件者优先考虑：1.有CT成像算法开发方面工作经验；2.有GPU硬件加速方面工作经验。,硕士,无经验,1,全职,,三英精密仪器有限公司1号楼2楼,三英精密仪器有限公司1号楼2楼,2023-04-04,2023-05-05,2023,2023.0,智联招聘
湖南弗麦伊企业管理有限公司,雷达算法工程师 – 信号处理,南京,浦口,25000.0,45000.0,1.77GHz/79GHz 毫米波雷达信号处理算法开发，负责雷达系统信号处理/基带信号处理算法仿真设计和验证。 2.负责毫米波雷达距离、速度速、角度估计，噪声处理、目标检测、目标特征提取……算法的设计和验证； 3.算法适配应用场景、设计相关测试用例，并针对各种应用场景对信号处理算法进行测试优化； 4.撰写相应的设计文档，负责算法知识产权工作。 要求 1.了解雷达原理，有车载毫米波雷达信号处理开发经验； 2.熟悉微波雷达信号处理理论、阵列信号处理、波达方向估计、统计信号处理相关理论，能利用相关理论进行工程开发； 3.熟悉常规信号处理方式--快速傅里叶变换FFT、数字波束形成DBF、恒虚警处理CFAR、噪声估计和微波雷达干扰处理； 4.熟悉阵列信号的波达方向估计算法——基于空间谱的多信号分类/MUSIC、确定信号的似然估计/DML……； 5.有较强的数学基础、有进行数学、物理公式推导的能力； 6.能熟练使用一种以上高级语言(MATLAB（必需）、C/C++、Python……)进行算法开发。 7.良好承压、人际沟通能力，主动性及团队合作精神。,本科,不限,2,全职,,江北新区研创园·共享空间,江北新区研创园·共享空间,2023-01-10,2023-02-10,2023,2023.0,智联招聘
汉诺科技(青岛)有限公司,数据分析师,临沂,,4000.0,8000.0,"（来自 马克数据网） 1、根据业务需求搜集信息，从宏观角度构建业务部门数据模型；2、参与日常业务数据分析需求调研，与产研深度配合，开展数据分析，进行 ROI 相关数据统计，展开数据监测及预警工作；3、参与经营管理分析，搭建业务经营分析框架，主动发现业务的问题和机会，支持所负责业务模块的重要战略决策；4、数据分析、模型开发任务包括但不限于业务目标理解、数据理解、数据抽取合并转换、数据清洗、算法选择、代码编写、算法执行、结果验证等过程；5、编写数据分析报告、数据挖掘报告、模型设计文档，模型对外宣传文档，完成可视化分析报表及经营分析报告输出，并负责文档资料的解释工作。任职条件：1、五年以上工作经验，统计学、经济学、金融学或者数学等专业统招本科及以上学历；2、精通 SASSPASS R 等统计软件，熟悉主流的分类、聚类等数据挖掘算法；3、熟练掌握 SQL 、 Phython , SAS 等工具，熟悉 B 模型构建等过程；4、对数据敏感，优秀的学习能力，逻辑思维能力，归纳总结能力，具备优秀的抽象思维及商业化思维，善于通过数据发现问题本质，探索业务增长点；5．工作严谨认真，具备优秀的抗压能力和独立解决问题的能力；6．具有较强的文字表达能力、口头语言表达和沟通能力强、思维敏捷。立即投递",学历不限,1-3年,1,全职,,临沂兰山区北城新区北京路8号,临沂兰山区北城新区北京路8号,2023-01-16,2023-02-15,2023,2023.0,智联招聘
甘肃海创新能源科技有限公司,（物联网方向）JAVA软件工程师,兰州,城关区,7000.0,12000.0,任职要求： 1. 学历专业要求：软件开发、计算机等相关专业，本科以上学历； 2. 经验要求：1年以上物联网相关工作经验； 3.基础技能：熟悉Java语言及常用的开源框架，熟悉大数据存储技术（比如Hadoop等）者优先； 4.其它要求：具备良好的沟通表达能力、分析问题和实际动手能力，具备优秀团队协作能力和文档能力；能承受较大的压力，吃苦耐劳，执行能力强，学习能力强，接受一定的出差。 岗位职责： 1.负责与客户、开发组、合作方沟通，协调项目进度，保障公司软件项目的程序开发及平台开发的顺利执行； 2.负责软件项目的产品迭代和日常维护，撰写开发文档及参与需求文档分析等； 3.参与项目测试、测试报告撰写及BUG修复； 4.参与过物联网方面工作； 5.与公司硬件研发团队合作； 6.负责领导交办的其他工作。,本科,1-3年,1,全职,,西部证券11楼,西部证券11楼,2023-05-19,2023-06-19,2023,2023.0,智联招聘
贵州省创敢科技有限责任公司,数据分析师（助理）,广州,黄埔,8000.0,12000.0,职位职责：1、基于对行业用户的理解和海量数据，参与产品、运营、研发等多种场景的数据分析、开发设计、优和数据建模等；2、研究大数据分析、挖掘或统计学习领域的前沿技术，针对海量用户行为和内容信息，挖掘更有价值的高阶数据；3、主动发起并推动以用户价值或产品体验的数据分析项目或算法策略落地。职位要求：1、本科及以上学历，学信网可查。应用数学、统计学、计算机、经济学等优先考虑；2、良好的逻辑思维能力，优秀的分析和解决问题的能力，对挑战性问题充满激情 ；3、有金融、电商、工业互联网、数据治理等相关行业数据分析经验优先录用；4、熟练使用SQL/R/Python等进行数据处理、分析、建模，熟悉Hadoop/Spark/Hive等大数据相关组件；5、自驱力强，沟通协作能力好，有进取心。,本科,无经验,2,全职,,中国软件CBD22-2,中国软件CBD22-2,2023-03-06,2023-04-06,2023,2023.0,智联招聘
福建(泉州)哈工大工程技术研究院,调度算法工程师,泉州,,8000.0,15000.0,岗位职责：1、针对工厂环境进行路径和调度系统设计；2、按需求提出调度系统设计方案，参与评审等；3、物流调度系统项目开发。岗位任职：1、熟悉现代物流工程，并掌握现代物流工程基础理论知识，对现代物流仓储具备一定的了解；2、熟悉一种或多种物流仿真软件应用程序；3、熟悉SQL语言，熟悉至少一款数据库（Oracle、MySQL、SQLServer等）；4、熟悉掌握至少一门编程语言，java优先；5、熟悉AGV小车工作原理和操作；6、有自动化仓储设计经验优先；7、能独立完成软件的设计与实现，有调度相关界面开发经验优先8、熟悉OpenTCS开源设计模式和车辆调度算法优先。,本科,1-3年,1,全职,,泉州市丰泽区软件园9号楼,泉州市丰泽区软件园9号楼,2023-02-02,2023-03-04,2023,2023.0,智联招聘
智港全息互联网科技(海南)有限责任公司,业务算法工程师,海口,龙华,6000.0,12000.0,1、熟练掌握编程语言，如Python、Java等常用语言； 2、具备数据处理和分析能力，熟悉SQL、NoSQL等数据库相关知识； 3、了解机器学习和深度学习等算法，能够独立进行模型训练和优化； 4、具备良好的数学基础，理解概率论、统计学等相关知识； 5、能够独立完成项目开发和上线，并保证代码的可读性、可扩展性和高效性； 6、具备沟通协调能力，能够与团队成员、客户或合作伙伴进行有效的交流和协作。。 （来自 马克数据网）,本科,不限,1,全职,,逸龙广场11层,逸龙广场11层,2023-05-13,2023-06-13,2023,2023.0,智联招聘
江苏政赢科技有限公司,数据开发工程师,南昌,青山湖,10000.0,18000.0,"岗位职责： 1、负责数据中台相关项目实施交付等工作； 2、负责数据中台相关项目技术文档撰写； 3、对问题有较强的分析能力,能够快速定位并解决问题。 任职要求： 1、专科及以上学历，计算机或者相关专业优先，有2年以上相关工作经验； 2、具备良好的沟通能力和文档编写能力，有很好的职业素养； 3、了解数据仓库理论，对数据处理、维度建模、数据分析等有了解或实战经验； 4、熟悉大数据技术栈，具备一定的如Hive、Spark等工具的开发经验，有良好的SQL功底和性能调优的能力。 职位福利：五险一金、年度体检",大专,1-3年,2,全职,,科研通信楼国网江西信通公司,科研通信楼国网江西信通公司,2023-05-12,2023-06-12,2023,2023.0,智联招聘
浙江集速合芯科技有限公司,算法工程师,杭州,滨江,24000.0,25000.0,岗位描述l 零中频校准算法研究实现l 高速ADC数字校准研究l 数字预失真算法研究任职要求l 精通Matlab，尤其是数字信号处理及通信的matlab程序l 熟悉数字信号处理实现，FIR/IIR、DDC/DUC、NCO/DDS等l 熟悉systemverilog、verilog、FPGA，可算法芯片实现的优先l 学习能力强，工作认真，勇于挑战，勤于总结，具有良好的沟通能力和团队意识l 通讯工程或相关专业背景，硕士研究生及以上学历，三年以上相关工作经验薪资面谈，优秀者待遇从优,硕士,3-5年,5,全职,,浙江省杭州市滨江区月明路33号杭州交投科创中心A幢,浙江省杭州市滨江区月明路33号杭州交投科创中心A幢,2023-04-06,2023-05-07,2023,2023.0,智联招聘
北京诺亦腾科技有限公司,导航算法工程师,北京,西城,30000.0,40000.0,岗位职责：1、惯性导航算法及组合导航算法的研究及实现。2、研发文档撰写。3、分配的其他任务。任职要求：1、硕士研究生及以上学历，至少有3年及以上惯性导航算法相关工作经验，有较强的数理功底，博士研究生优先考虑；2、导航、测控、仪器等相关专业；3、熟悉惯性导航算法，组合导航算法，数字信号处理算法、卡尔曼滤波等，具备具体应用案例经验。4、熟悉IMU相关知识，航姿、航向估计算法；熟悉捷联惯导方案方程设计和参数调优，掌握基础的数据预处理和滤波算法；5、具有钻研能力与创造力，做事严谨踏实，责任心强，条理清楚，善于学习总结。6、有良好的团队合作精神和沟通能力。7、熟练掌握C/C++语言、熟练使用VS、SVN等开发工具者优先。 职位福利：五险一金、年底双薪、绩效奖金、餐补、带薪年假、弹性工作、补充医疗保险、节日福利,硕士,5-10年,1,全职,,北京诺亦腾科技有限公司,北京诺亦腾科技有限公司,2023-05-26,2023-06-26,2023,2023.0,智联招聘
重庆啄木鸟网络科技有限公司,数据分析师(J10446),重庆,,6000.0,7000.0,岗位职责: 1、数据处理：对收集到的数据进行清洗、整理和转换。 2、数据分析：运用统计学、数据挖掘、机器学习等方法对数据进行深入分析。 3、数据应用：将分析结果以图表、报告等形式呈现，定期向各部门输出。 4、模型建立：根据业务实际情况，建立数据模型。 5、业务理解：深入了解所在行业和企业的业务，以便更好地理解数据背后的含义和价值。 6、数据埋点：对缺失数据提出埋点需求，推动产品部门开发、上线、验收、应用。 任职要求: 1、数据分析岗位3年以上经验 2、熟练掌握数据分析和挖掘的方法，如描述性统计、推断性统计、回归分析、聚类分析等。 3、熟悉至少一种编程语言，如Python、R、SAS、SQL等。 4、熟练使用数据可视化工具，如Tableau、Power BI、Excel等。 5、具备良好的业务理解能力，能够将数据分析结果与实际业务场景相结合。,本科,3-5年,1,全职,,重庆渝北区恒山东路两江新区互联网产业园二期8栋11楼,重庆渝北区恒山东路两江新区互联网产业园二期8栋11楼,2023-05-26,2023-06-26,2023,2023.0,智联招聘
