企业名称,招聘岗位,工作城市,工作区域,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘人数,招聘类别,初级分类,公司地点,工作地点,招聘发布日期,招聘结束日期,招聘发布年份,招聘结束年份,来源
北京龙双利达知识产权代理有限公司,人工智能算法工程师,南京,,10000.0,15000.0,岗位要求 1、理工科硕士(通信、电子电路、计算机、人工智能、机械、自动化、控制、电气、仪器仪表、光学、微波、车辆工程、能源与动力、物理、生物医学工程、材料加工等专业方向)及以上学历，教育背景优秀，思维敏捷、逻辑性强，英语通过CET-6，500分以上优先（注：北京岗位要求CET-6成绩550分以上）； 2、关注前沿科技的最新动向和最新思想，善于技术沉淀、具备钻研意识，有跨专业、多学科学习的能力与意愿； 3、真诚做人，踏实做事，敢于挑战，没有玻璃心，善于自省反思，不怕失败、且能从失败和错误中成长； 4、良好的合作精神，具有同理心，能够及时响应并具有快速的执行力，； 5、认同专利行业的职业发展前景，愿意在专利行业深耕，乐于终身学习、终身成长，寻求长久、稳步的发展和提升。 岗位职能： 1、负责国内外专利案件的检索、撰写及审查阶段文件处理； 2、负责为客户提供高品质的专利服务，从专业的角度为客户提供全球专利布局发展规划和保护方案； 3、视个人能力参与专利复审、无效、诉讼等事务，以专利为武器为客户争取权益。 培训体系 行业及岗位知识培训 专利培训 流程培训 法律培训 英语培训 前沿科技知识培训 专业提升进阶培训 …… 福利待遇 除全面且系统的培训外，我们还将为大家提供同行业内具有竞争力的薪资和福利待遇。 五险一金 住房补贴 年度奖金 季度奖金 交通补贴 餐费补贴 高温补贴 生日礼物 节日红包 来源：马 克 数 据 网,硕士,经验不限,,全职,专利/商标/知识产权,,,2024-06-27,,2024.0,,智联招聘
大鱼视觉技术(河南)有限公司,算法工程师,洛阳,,9000.0,18000.0,岗位职责： 1、负责基于图像的图像处理、识别、定位、检测和跟踪算法和的设计、开发和调试； 2、收集研究行业内新的技术、算法，不断提高系统对图形图像识别的效率与准确率； 3、根据项目需求，完成视觉设备图像处理算法的实现，针对已有检测算法进行性能优化； 4、完成技术文档的编写，配合团队完成项目计划进度。 任职要求： 1、图像处理、模式识别、机器视觉、自动化及应用数学等相关专业； 2、有图像分割、图像配准、图像识别经验，熟练使用VS开发平台，精通C/C++开发语言； 3、掌握数字图像处理及机器视觉的基础理论和算法知识，熟悉OpenCV等视觉算法库优先考虑； 4、具备良好的代码书写规范和文档编写能力； 5、有图像处理、模式识别的自动化项目经验； 6、具备团队合作精神，有良好的人际沟通能力； 7、有责任心、事业心，进取心、勤奋踏实，能够在压力下独立工作。 工作地点：洛阳、西安、成都 （macrodatas.cn） （来 自 马 克 数 据 网）,本科,经验不限,,全职,专用设备制造,,,2024-09-01,,2024.0,,智联招聘
北京零偏科技有限责任公司,算法工程师,北京,,20000.0,40000.0,内容： 1、导航、组合导航算法； 2、图像处理、视频处理、深度学习、三维重建； 3、基于图像的识别、检测与测量； 4、数据分析与统计； 5、其他相关算法。 任职要求： 1、硕士以上学历； 2、导航、控制或图像处理等相关专业； 3、导航、滤波算法、控制、优化；图像处理、三维重建、检测和识别等，善于学习新知识，具有较强的技术前瞻能力； 4、具备良好的逻辑沟通能力和解决实际问题的能力； 5、具备编程能力者优先； 6、对惯性导航为基础的组合导航、误差补偿和图像视频处理、三维重现感兴趣优先。 付出就有收获！ 附注：我们是朝阳行业！技术领先！ 我们是蓬勃向上的团队！广阔的晋升空间！ 我们期待您的加入！,硕士,经验不限,,全职,仪器仪表制造,,,2024-08-29,,2024.0,,智联招聘
上海华讯网络系统有限公司,算法工程师（视频图像）（昆明）,昆明,,12000.0,24000.0,基本职责： －负责智慧交通等业务方向的基础视觉算法的研发和产品落地； －负责产品落地时与产品经理和交付团队人员对接合作； －负责计算机视觉深度学习算法的设计、迭代等工作。 专业能力要求： －数学、计算机等相关专业，本科及以上学历，3年以上工作经验； －熟悉C/C++、Python等编程语言，能独立完成文献阅读、代码实现、验证工作； －熟练掌握TensorFlow、Caffe、Pytorch等算法框架，对图像特征提取、目标检测及定位、目标跟踪及识别、场景分割等方向有相关工作经验； －有较强的沟通能力、检索能力和学习能力。,本科,3-5年,,全职,计算机硬件,,,2024-08-26,,2024.0,,智联招聘
上海华讯网络系统有限公司,算法工程师（数据分析）（昆明）,昆明,,12000.0,20000.0,岗位职责： 1、负责防汛、水环境模型算法的设计及产品规划； 2、负责模型方案建模、计算分析和核心代码开发。 3、负责水文预报，水动力学，溃坝溃堤模型、调度模型的研究和算法开发； 任职要求： 1、计算机或水文专业，硕士研究生及以上学历； 2、从事过模型的构建、编程、开发应用技术工作2年以上； 3、掌握至少1项模型开发语言：Python、C++、Java等； 4、熟悉各种文献检索技术，并善于归纳、总结和提炼； 5、具有中小河流洪水预报、排水防涝风险分析、供排水水量、水质模拟、水动力学等相关项目经验者优先考虑； 6、性格开朗、善于交流，诚实正直，具有团队协作精神和抗压能力。,硕士,1-3年,,全职,计算机硬件,,,2024-08-09,,2024.0,,智联招聘
北京瑞鑫天算资产管理有限公司,量化研究员（机器学习方向）,北京,,15000.0,30000.0,岗位职责： 1、利用机器学习、深度学习和人工智能的方法研究股票、期货等相关历史数据中的规律； 2、对多因子股票模型及CTA量化模型进行因子挖掘、策略研究及策略组合； 3、探索适合目标领域的模型和算法。 任职要求： 1、教育背景： 毕业或在读于国内外知名高校，人工智能、金融工程、数学、统计、物理、计算机、生物工程、大气等相关专业，硕士及以上学历优先； 2. 精通机器学习（深度学习）并有应用模型解决实际问题的经验，熟悉监督学习、半监督学习或强化学习方法，具备创新研究能力。 3. 具有扎实的数学建模能力及编程能力，能熟练通过 Python、 R 等语言建立机器学习模型。掌握至少一种深度学习框架（PyTorch/TensorFlow）等 4. 有相关领域工作和研究经历者优先。 （来自 马克数据网）,硕士,经验不限,,全职,基金,,,2024-06-16,,2024.0,,智联招聘
北京瑞鑫天算资产管理有限公司,机器学习算法工程师,北京,,15000.0,30000.0,岗位职责： 1、利用机器学习、深度学习和人工智能的方法研究股票、期货等相关历史数据中的规律； 2、对多因子股票模型及CTA量化模型进行因子挖掘、策略研究及策略组合； 3、探索适合目标领域的模型和算法。 任职要求： 1、教育背景： 毕业或在读于国内外知名高校，人工智能、金融工程、数学、统计、物理、计算机、生物工程、大气等相关专业，硕士及以上学历优先； 2. 精通机器学习（深度学习）并有应用模型解决实际问题的经验，熟悉监督学习、半监督学习或强化学习方法，具备创新研究能力。 3. 具有扎实的数学建模能力及编程能力，能熟练通过 Python、 R 等语言建立机器学习模型。掌握至少一种深度学习框架（PyTorch/TensorFlow）等 4. 有相关领域工作和研究经历者优先。,本科,无经验,,全职,基金,,,2024-06-15,,2024.0,,智联招聘
北京中航智科技,联合飞机集团2023届校园招聘：无人机/飞机研发设计、人工智能算法、软件/硬件/试飞/营销类,深圳,,15000.0,30000.0,联接梦想，一起飞翔——联飞集团2023届校园招聘简章 童年的纸飞机，少年的航天梦， 无人机的时代，牵引梦想实现， 探索从未止步 年轻也能翱翔 向着星辰大海 加入联飞，一起打造新一代智能飞行器， 逐梦蓝天，航空报国 关于我们 联合飞机是无人飞行技术服务和无人机整体解决方案提供商，专业从事重载荷无人机等高端智能装备研发、设计、生产、销售和服务。公司致力于为政府、军方以及商业客户提供无人机装备和智能无人化解决方案，拥有无人机全产业链、全生命周期服务能力。 公司在北京、深圳、上海，西安，成都，芜湖，敦煌等多地实现布局，打造了集无人机研发试制、生产、部装总装、测试和系统联调一体化的基地。我们致力于成为全球无人系统领域的创新者和领军者，便捷物品运输和人类出行，引领时代变革。 目前，联合飞机已发展成为国内工业级无人直升机行业头部企业，跻身国际先进行列。公司现有员工约600名，研发技术人员占比60%以上，大多毕业于知名高校且有央企科研院所工作经历，研发骨干团队中有多名总师主持参加过国家型号研制任务的项目。 核心技术： HeliAP自动飞行控制技术、电控共轴操纵技术、无轴承旋翼技术、无人化改装技术、自主避障技术、高可靠多余度飞控技术，吊挂稳定飞行控制技术，以及灵巧作动器、270V大功率伺服系统，无人直升机飞行控制与仿真技术，无人机飞行控制系统集成验证技术等，其中自主研发的飞行控制系统和电控共轴技术打破了西方国家的封锁，填补了国内空白。 核心产品: 公司产品,本科,无经验,,校园,船舶/航空/航天/火车制造,,,2024-08-24,,2024.0,,智联招聘
山东致群信息技术股份有限公司,风险数据分析师,济南,,9000.0,18000.0,岗位职责: 1、针对账户体系、资金渠道、支付场景和欺诈案件等进行风险计量，通过数据挖掘和其他手段，建立针对性的欺诈风险管理策略、风险模型与侦测机制； 2、监测和分析风险策略执行情况和效果，持续优化和完善风险政策； 3、以定量的风险评估为基础，针对不同支付场景的上线进行风险测算，并优化业务风险逻辑； 4、建立实时业务风险监控体系，跟踪核心业务指标变化，通过数据分析定位问题，并给予解决方案建议； 5、针对历史风险案件进行深度挖掘，刻画用户特征和作案链路，制定前瞻性的风控策略。 任职资格: 1、本科以上学历，有2年或以上数据分析相关经验，行业包括银行、第三方支付机构、信用卡机构、互联网； 2、曾负责信用风险、欺诈、商业/市场的量化分析，且曾产出量化分析报告； 3、熟练使用SQL，至少可以使用Python、R、SAS其中一款软件进行建模分析，有建立风险计量模型的实际经验； 4、良好的沟通能力和表达能力，工作细致认真，能快速响应业务、政策、产品迭代需求，并积极推进多个项目的进程。,本科,3-5年,,全职,IT服务,,,2024-08-29,,2024.0,,智联招聘
北京立迈胜控制技术有限责任公司,伺服驱动控制算法工程师（北京）,北京,,15000.0,30000.0,"岗位职责： 1、负责一体化电机驱动控制和机器人运动控制算法研究开发。 2、研究电机驱动新技术，提升产品技术优势； 3、协助硬件设计人员及应用软件设计人员进行系统开发与调试； 4、编写相关技术文档，并对有关人员进行培训。 岗位要求： 1、硕士及以上学历，自动化专业、电力电子与电力传动专业、电子相关专业优先; 2、3年以上驱动器软件开发经验，熟悉STM32,ARM或DSP开发环境; 3、熟悉嵌入式软件开发流程和测试流程; 4、精通伺服电机、无刷电机、步进电机的FOC算法; 5、熟悉PID、自适应控制 、自抗扰、前馈、参数辨识等算法; 6、熟悉 EtherCAT,CANopen和MODBUS现场总线。",硕士,5-10年,,全职,工业自动化,,,2024-07-31,,2024.0,,智联招聘
