岗位,公司,城市,工资,工作经验,学历,福利,公司性质,公司规模,岗位要求
数据工程师,海澜集团有限公司,无锡-江阴市,1-2万/月,2年经验,本科,五险一金 专业培训 餐饮补贴 绩效奖金 年终奖金,民营公司,10000人以上,"岗位职责:1、负责数据建模及数据仓库设计和开发；2、负责数据仓库ELT流程开发、运维和优化；3、负责业务模型开发和维护；4、负责BI报表展现开发和维护。任职资格:1、本科及以上学历，计算机或数学等相关专业；3、精通SQL语法,具备熟练的ETL、BI建模能力，具备海量数据开发能力；4、熟悉行业主流BI、ETL产品，能够独立部署、运维BI平台更佳；5、了解Hadoop、HANA、Greenplum等数据仓库；6、具备hive/impala、spark、presto、kafka等大数据组件工作经验的优先考虑；7、具备数据挖掘、java、python、Linux/shell技能优先考虑。"
大数据工程师,联强国际,银川,0.8-1万/月,3-4年经验,大专,五险一金 专业培训 绩效奖金 年终奖金 定期体检 带薪年假 节日福利,外资（非欧美）,500-1000人,1、熟悉Linux常用命令，熟练使用shell/Python等脚本语言。2、熟悉数据库原理。3、熟悉SQL常用语法。4、可完成操作系统日常运维管理操作，网络、文件系统配置，软件安装，脚本执行。5、熟悉hadoop各个组件技术与原理。6、工作至少3年，至少1年以上JAVA开发经验。7、有华为大数据部署、开发、维护从业者优先。8、具备良好的沟通协作能力和较强的担当意识。9、工作积极主动、有责任心、善于沟通、具有良好的团队协作能力和服务意识。 职能类别：数据库工程师(DBA)
大数据开发,河北研云科技有限公司,南京-江宁区,1.5-2万/月,1年经验,大专,周末双休 带薪年假 绩效奖金 节日福利 专业培训 五险 员工旅游 年终奖金,民营公司,少于50人,工作职责：1、针对海量安全业务数据流，设计实时大数据分析场景架构；2、配合算法研究团队，完成实时风险检测等场景落地。任职要求：1、计算机、数学或统计学等相关专业本科及以上学历；2、熟悉linux服务端开发，熟练使用sql，掌握python/java/scala等至少一种语言；3、熟悉大数据技术栈，掌握大数据ETL、批流处理等相关技术，熟练使用spark/flink/hbase/hive/kafka等大数据组件；4、具备良好的沟通能力，学习能力强，积极拥抱新技术；5、熟悉机器学习相关技术者优先，具有异常检测、用户画像等项目经验者优先，具备数据可视化相关技能者优先； 职能类别：大数据开发工程师
大数据开发工程师,湖南华恒科教设备有限公司,长沙-芙蓉区,0.8-1.6万/月,2年经验,本科,社保 双休 绩效奖金 年终奖金,民营公司,少于50人,1、负责大数据平台相关的组建的开发工作；2、确保平台从局部到整体的性能稳定、优化。职位要求：1、大专及以上学历2、掌握大数据平台体系架构、技术和标准；与合作厂家（新华三、四合天地等大数据厂家）沟通协调、落实高校大数据相关项目方3、熟悉Linux操作系统；4、熟悉大数据/Hadoop相关技术；5、熟悉Java/Python等语言，具有1-5年以上的大数据平台开发经验；6、有1-5年及以上行业（政务、公安等）应用软件开发经验；7、高级需要具备大型开发项目的管理经验。8、熟悉Oracle/SqlServer/MySql/PostgreSQL等数据库；9、有较强的学习能力，沟通协调能力。 职能类别：大数据开发工程师 关键字：hadoopjava
软件后台开发工程师(大数据方向),华彬云科技（广东）有限公司,深圳-龙岗区,2-4万/月,5-7年经验,本科,五险一金 绩效奖金 包住宿,民营公司,50-150人,岗位职责：负责中台系统基础架构设计、开发及后期运营；负责中台基础服务建设和运营，如：缓存、消息队列、定时任务、认证鉴权、大数据统计接口等。岗位要求：1. 计算机相关专业本科及以上学历，3年以上JAVA开发经验，有大型公司（或系统）开发经验优先；2. 精通Spring、MyBatis、SpringMVC、Spring Boot等应用框架并熟悉实现原理；3. 熟悉分布式缓存、消息中间件、RPC框架、负载均衡、安全防御等技术，掌握各类中间件使用，包括zookeeper、redis、nginx、tomcat等；4. 精通SQL，熟练主流数据库Mysql，具备优秀的数据建模能力和数据库分库分表设计能力；5. 有大型分布式、微服务系统架构经验，对服务治理有深入理解，使用过dubbo或spring cloud且有实际项目经验者优先；6. 责任心强，具备良好的问题分析能力、对外沟通能力和团队协作能力，能独立承担任务和有系统进度把控能力；7. 有大数据处理经验，包括hadoop/spark/hbase/ELK/kylin/es等；在机器学习、深度学习、搜索、广告、推荐 等相关领域有工作经验的优先。8、可接受应届实习生（欢迎投递） 职能类别：Java开发工程师
软件开发工程师（物联网方向）,武汉新普惠科技有限公司,武汉-江夏区,1.2-1.8万/月,3-4年经验,本科,周末双休 五险一金 餐饮补贴 住房补贴 专业培训 绩效奖金 年终奖金 节日福利 全勤奖,民营公司,150-500人,"岗位职责：1、参与公司物联网平台的设计与开发工作；2、负责对接各种物联网设备或其他数据源，提供高并发低延时的数据接入服务；3、负责对接各种第三方平台；4、承担一部分后端运维工作。任职要求：1、熟练使用springboot, netty;2、熟悉常用的数据库/中间件，如MySQL/redis/mongo等；3、熟悉常用的物联网协议，如MQTT/MODBUS，熟悉TCP/UDP私有协议解析；4、熟悉Linux使用，熟悉docker的使用；5、有一定的前端基础，熟悉一种前端框架，如vue;6、对接过LED屏/智能硬件（lora无线设备）优先；7、有农业物联网业务平台开发经验者优先。 上班时间8：30-17：30 周末双休 ，五险一金 职能类别："
软件高级工程师(物联网),长沙伊士格信息科技有限责任公司,长沙-岳麓区,1-1.5万/月,3-4年经验,本科,五险一金 员工旅游 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金,合资,50-150人,"工作职责：1、参与产品需求及技术方案的交流与讨论，按需求能编写设计文档；2、保证开发程序代码高效、稳定；3、进行单元测试；4、物联网平台设备通信、数据解析相关工作任职资格：1、本科及以上学历,计算机或相关专业；2、对OneM2M有深刻的理解，熟练掌握设备通信接口，如MQTT,CoAP，Restful等；3、熟悉Java，并有丰富的Java开发经验；4、熟悉M2M平台产品优先；5、了解开源社区软件，如Akka框架，Java/Scala语言，大数据HADOOP/SPARK等（可选）；6、熟悉基于云平台的应用开发；7、熟悉Windows与linux操作系统原理、熟悉串口、TCP/IP网络编程、熟悉多线程环境下编程、熟悉工业网络通讯、Modbus协议、UDP协议等；8.学习能力强，视野开阔，头脑灵活，工作热情高。 职能类别：软件工程师高级软件工程师 关键字："
软件开发工程师(大数据方向）,合肥英泽信息科技有限公司,武汉-武昌区,1.5-2万/月,5-7年经验,大专,,民营公司,150-500人,1、5年以上java开发经验，对各种开源的框架如spring boot、spring cloud、Dubbo、Redis等有深入的了解，对框架本身有过开发或重构者可优先考虑;2、熟悉常用存储系统（如MySQL/PostgreSQL/Greenplum/Redis）操作，有一定Sql优化经验;3、掌握hadoop、hbase、kafka、spark、Storm、Flink等分布式数据存储和分布式计算平台原理，具有相关系统的调优、 运维、开发经验；4、在高并发和高稳定性方面有经验者优先考虑；有一定的分布式处理经验者优先考虑；5、有大数据项目经验 职能类别：Java开发工程师
软件开发工程师（物联网）,湖南铭记今泽科技有限公司,长沙,1.5-1.8万/月,5-7年经验,本科,,民营公司,50-150人,职位描述：【岗位职责】1、规划公司IoT技术发展方向和路线，制定公司IoT平台建设思路和策略，设计系统整体技术架构及技术选型；2、精通物联网解决方案所需关键技术、体系架构、设计模式、生态构建；3、独立完并实现成公司***版本物联网平台的规划、设计和代码开发实现；4、对技术人员管理有自己想法，产品***版本上线后能组建团队进行后续版本的优化、升级和迭代。【任职要求】1、统招本科以上计算机、自动化相关专业学历；2、工作5年以上，至少3年以上物联网、互联网或大型公司工作经验；3、具备5年以上的java开发经验，熟练掌握JAVA开发框架(Spring Boot、mybatis、Spring Cloud 、Dubbo 、Ehcahe 、Redis、RabbitMq、Netty)；4、精通使用linux、docker；5、了解物联网硬件、网关、云端平台的软件系统架构；6、熟悉物联网行业应用及相关解决方案，有智慧餐厅、物联网解决方案工作经验者优先。7、具有物联网云开发、部署经验，熟悉物联网各种框架协议的开发和流程管理经验，有实施企业大型项目经验，具备较强组织协调能力者优先；8、有代码洁癖，具备规范的技术文档整理和存档经验。 职能类别：Java开发工程师
高级IoT工程师 / 软件架构师,广州技诺智能设备有限公司,广州-黄埔区,2.5-3.5万/月,8-9年经验,本科,五险一金 免费工作餐 年终双薪 免费班车 定期体检 绩效奖金 周末双休,民营公司,150-500人,"岗位职责：根据公司各期目标规划IoT平台产品发展形态；提供产品业务逻辑定义、技术框架选型、通信接口协议编写等技术支持，对接与分析客户需求，将需求导入项目，跟进项目开发进度；设计优化网络架构、通信协议，开发优化功能模块和服务端架构；大数据分析业务规划，开发多层次的数据接口；运营管理后台系统的规划与项目督导；供应链服务系统规划与项目督导。任职要求：***统招本科及以上学历，计算机应用技术、物联网等相关专业优先，英语听说读写能力OK。5年以上从事网络通讯及协议开发工作经验，有项目管理经验为佳；专业知识要求：网络应用与通信技术，数据库应用技术，服务端架构技术；熟悉C/C++,JAVA,python,php等开发语言，MySQL,SQLserver,redis等数据库，TCP/IP,MQTT,http等相关协议；工作的主动性、责任心与抗压能力强，沟通协调能力强。 职能类别：Java开发工程师"
