企业名称,招聘岗位,工作城市,工作区域,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘人数,招聘类别,初级分类,公司地点,工作地点,招聘发布日期,招聘结束日期,招聘发布年份,招聘结束年份,来源
天津市赛宁生物工程技术有限公司,3D视觉算法工程师,天津,西青区,15000.0,25000.0,岗位职责： 1. 负责应用于机器人的2D/3D视觉算法的设计、开发和测试； 2. 负责多目标物体的点云处理、配准、分割、位姿估计等； 3. 深度学习相关网络模型的设计、优化及部署； 4. 视觉系统的集成和部署。 5. 维护和review公司的视觉代码库。 任职要求： 1. 计算机、自动化、机器人等相关专业，硕士或有丰富经验的本科生；2年以上相关工作经验； 2. 熟练掌握C++、Python，编程和算法基本功扎实，熟悉Linux开发环境； 3. 熟悉常见2D图像处理算法，熟练使用OpenCV、PCL、Open3D等视觉基础库； 4. 熟悉主流神经网络模型，包括但不限于物体检测、分割、跟踪等；熟悉至少一种深度学习框架（PyTorch、TensorFlow 等）； 5. 较强的责任心，优秀的协作能力，对工程技术和工程落地有较高的热情。,本科,1-3年,1,全职,,天津市华苑产业区海泰发展六道海泰绿色产业基地D座501,天津市华苑产业区海泰发展六道海泰绿色产业基地D座501,2022-08-11,2022-09-11,2022.0,2022.0,智联招聘
中国联合网络通信有限公司福建省分公司,工业互联网高级安全服务工程师,福州,仓山区,18000.0,30000.0,岗位职责： 1、负责安全服务项目的实施，如开展安全攻防测试、漏洞发掘、安全咨询、重大活动网络安全保障、网络安全应急响应等； 2、负责安全服务产品设计，制定安全服务交付方案； 3、负责挖掘客户攻击防护演练需求的实现，包括攻防方案设计，演练中的模拟攻击、通知预警、防护部署、演练报告出具等工作。 任职要求： 1、能独立开展系统渗透测试、风险评估等工作； 2、参与过网络安全红蓝对抗、网络安全护网行动等活动，并具有较为丰富的网络安全攻防经验，能牵头组织开展攻防演练服务； 3、 熟悉主流的安全产品及及相关技术，有相关成功的落地经验； 4、掌握基本网络安全原理，各种网络安全协议、防护手段，有WAF、漏扫、安全监测等网络安全产品使用经验； 5、熟悉等保2.0、网络安全法等国内基本安全政策与法规；熟悉IP网络技术、网络安全架构和基本协议，熟悉DDoS、Web安全防护等产品；熟悉所涉及行业的相关安全标准； 6、具有CISSP/CISP/CISAW/ISO27001LA/CISA/等保/分保等相关认证者优先考虑。 数据由马 克 数 据整理,本科,5-10年,5,全职,,中国联合网络通信有限公司福建省分公司,中国联合网络通信有限公司福建省分公司,2022-07-15,2022-08-15,2022.0,2022.0,智联招聘
河南正大航空工业股份有限公司,飞控算法工程师,新乡,,10000.0,15000.0,"岗位描述：1、负责无人机产品旋翼控制算法与软件开发；2、负责无人机数学建模与仿真；3、负责无人机飞行控制律与控制逻辑设计；4、参与飞控相关算法与软件开发；5、负责无人机控制律设计，开发与仿真；6、负责新型控制算法的研究与应用；7、负责搭建飞控仿真验证环境；8、负责飞控系统的测试、试验与试飞。任职资格：1、本科以上学历，自动化、测控技术与仪器、软件工程、航空飞行器设计、飞行器动力工程、飞行控制、航空电子、导航制导与控制、通信工程相关专业；2、熟悉控制算法设计，具备无人机飞控系统研发经验，扎实理论基础，熟练掌握PID控制理论，了解动态模型自适应等新型控制方法；3、掌握飞行运动学及动力学基础知识，具备公式推导分析能力，掌握固定翼、多旋翼飞机动力学特性；4、熟悉业界发展情况，了解国内飞控系统技术发展状况，熟悉开源飞控及电调。5、具备团队精神,踏实、肯干。",本科,3-5年,2,全职,,河南正大航空科技股份有限公司,河南正大航空科技股份有限公司,2022-04-16,2022-05-17,2022.0,2022.0,智联招聘
中唯建设工程有限公司,人工智能算法工程师,长沙,长沙县,12000.0,15000.0,任职要求： 1、本科及以上学历，计算机、数学、物理等相关专业，1 年以上相关工作经验。 2、熟悉至少一种深度学习训练工具（Caffe/ /Keras/ConvNet/TensorFlow/Torch）。 3、熟悉机器学习、模式识别、物体分类及识别等领域的相关算法。 4、良好的数学基础和编程能力，熟悉Python、SHELL 等编程语言。 5、良好的信息搜索、文献阅读及算法实现的能力。 6、富有想象力和学习能力，良好的团队合作精神和分析与解决问题的能力。 岗位职责： 1、从事机器学习、深度学习在无人驾驶、图像识别、物体分类、匹配系统等领域的研究和开发工作。 2、负责深度学习平台和框架的搭建工作，包括算法实现及系统研发。 3、支持公司相关产品在深度学习方向的研究。,本科,1-3年,1,全职,,未来智汇城,未来智汇城,2022-07-06,2022-08-06,2022.0,2022.0,智联招聘
江苏伊卡洛斯电力无人机通用技术有限公司,测绘数据工程师,朝阳,双塔区,6000.0,8000.0,岗位内容： 1、激光点云数据处理和DOM生产； 2、完成测绘项目数据采集处理工作； 3、该岗位近两年会在南京做内业驻场，公司提供宿舍，待遇优厚。 岗位要求： 1、大专及以上学历，有计算机基础，能够熟练运用办公软件； 2、有一定的适应能力，具有较强的团队意识和吃苦耐劳精神；,大专,不限,3,全职,,书香欣苑A座604,书香欣苑A座604,2022-04-11,2022-05-12,2022.0,2022.0,智联招聘
北京高馨宏维网络科技有限公司,大数据开发工程师,银川,永宁县,12000.0,17000.0,"岗位职责： 1.参与大数据平台项目架构的设计与研发； 2.参与数据仓库架构和模型设计，负责数仓ETL设计与开发； 3.参与业务需求分析，进行数据建模,负责数据集市的搭建、开发、维护、优化； 4.调研与整理指标与字段对应的数据取值逻辑、关联关系，输出开发文档； 5.负责建立数据分析模型，对接前端报表与数据可视化开发。 任职资格： 1.具备3年及以上数仓ETL相关工作经验； 2.有制造业等工业互联网背景优先； 3.熟悉数据仓库建设，熟悉常用的模型设计方法，熟悉数据仓库领域知识和技能，包括元数据管理、主数据管理、数据质量管理等; 4.有大数据平台项目离线和实时实战工作经验； 5.熟悉Linux系统常规shell处理命令，熟练掌握一门或多门编程语言，熟悉java或者Python者优先； 6.熟悉分布式计算框架(HDFS/HIVE/HADOOP),熟悉关系型数据库，如Oracle、MySql等，熟悉数据库调优，熟悉HANA开发者优先，熟悉Kafka、Spark Streaming、Flink批流一体相关技术，熟悉Kylin、ClickHouse等准实时引擎技术； 7.熟悉数据清洗、转换、整合过程，熟练使用ETL工具，有完整的数据平台建设经验者优先；",大专,3-5年,5,全职,,伊品生物科技股份有限公司A座1303,伊品生物科技股份有限公司A座1303,2022-02-28,2022-03-25,2022.0,2022.0,智联招聘
合肥知常光电科技有限公司,高级图像处理算法工程师,合肥,蜀山,20000.0,30000.0,岗位职责： 1. 根据项目需求，负责项目算法处理流程设计和架构； 2. 负责设计并实现图像预处理、目标识别、语义分割、尺寸量测等算法； 3. 负责项目相关数据的处理、分析； 4. 负责项目相关技术文档的撰写； 5. 负责与自动化控制软件开发工作的对接。 任职要求： 1. 硕士及以上学历，4年以上工作经验，条件优秀者可适当放宽； 2. 掌握C++或C#至少一种编程语言； 3. 掌握数字图像处理技术，有扎实的数字图像处理算法知识； 4. 掌握OpenCV或者EmguCV库； 5. 熟悉深度学习机器视觉算法优先； 6. 熟悉图像特征检测、模式识别等相关算法优先； 7. 有强烈责任心、团队协作能力、以及独立解决问题的能力； 8. 有相关行业经验优先。 工作时间：周末双休，准弹性工作时间安排。 福利待遇：入职购买五险一金、年终奖金、春游秋游带薪旅游、节日福利、每年多次调薪、满周年国内外带薪旅游。,硕士,3-5年,2,全职,,合肥创新产业园C4座,合肥创新产业园C4座,2022-11-21,2022-12-22,2022.0,2022.0,智联招聘
美林数据技术股份有限公司,数据分析师,西安,雁塔区,8000.0,16000.0,岗位职责：1. 负责售前客户提出需求的业务分析、咨询；2. 负责客户需求落地解决方案的编写；3. 数据分析类项目业务数据分析，利用数据挖掘算法形成业务模型，指导落地；岗位要求：1. 数学、计算机相关专业，统招本科本科及以上学历，至少1年以上相关工作经验；2. 熟练掌握各类数据挖掘算法在相关领域应用3. 熟练掌握数据分析工具，如spss、sas、R语言、python、SQL等。4.熟练使用C++5. 善于沟通交流，具备较好职业素养6. 具有运营商行业数据挖掘经验者优先考虑。,本科,1-3年,1,全职,,美林数据技术股份有限公司,美林数据技术股份有限公司,2022-07-04,2022-08-04,2022.0,2022.0,智联招聘
新疆中科曙光云计算有限公司,数据分析工程师,乌鲁木齐,新市区,8000.0,10000.0,职责描述：1、 负责政务、公安、贸易等行业数据的数据梳理、加工、处理、分析;岗位要求：1、本科及以上学历，数学、统计学、计算机等相关专业优先，3年以上数据分析相关工作经验；2、专业技能：精通SQL，有HIVE使用经验，统计基础知识扎实； 3、拥有敏锐的洞察、分析能力，严谨客观的分析态度；很强的学习能力，对工作专注、投入；4. 良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验； 5.具备良好的抗压能力、沟通能力和团队精神。6、熟悉Hadoop、Spark大数据开发者优先；7、熟悉政府、公安、贸易业务数据者优先；。（macrodatas.cn） （来 自 马 克 数 据 网）,学历不限,不限,2,全职,,东站路第三监狱旁乌鲁木齐中科曙光云计算有限公司,东站路第三监狱旁乌鲁木齐中科曙光云计算有限公司,2022-01-06,2022-02-15,2022.0,2022.0,智联招聘
湖南中电星河电子有限公司,通信导航算法工程师,天津,滨海新区,25000.0,35000.0,岗位职责：1、承担下一代PNT系统和低轨卫星通信系统信号处理相关算法的设计、文档撰写、性能仿真工作；2、承担低轨卫星互联网、物联网和下一代PNT系统指标分析论证工作；3、负责项目中算法模块的实现、数据分析等工作。任职要求：1、高校硕士以上学历，曾发表过一篇以上学术论文或者授权一项以上发明专利；2、有卫星通信系统、卫星导航系统从业经历，熟悉DVB、DVB-S、5G以及LoRa信号体制者优先；3、具有良好的英文文档阅读能力和技术文档书写能力；4、熟练掌握Matlab语言编程、C语言、python编程；5、有良好的学习能力和沟通能力，乐观向上，心态积极。其他要求：入职人员先到长沙进行6~12个月的项目培训，然后再返回天津星河公司。,本科,3-5年,2,全职,,滨海信息安全产业园,滨海信息安全产业园,2022-10-09,2022-11-09,2022.0,2022.0,智联招聘
