company,name,location,salary,edu,experience,skills,demand,发布日期
险峰长青投资咨询,大模型算法研究员,上海,30-60K·14薪,博士,经验不限,stable diffusion cv 3D点云 AIGC 算法工程化,岗位职责： 1、负责前沿AI模型算法的研究，可能涉及诸如自然语言-点云交互算法前沿研究；2、复现或优化前沿AI模型，并形成技术研发方案；3、负责技术研发方案的推进，完成早期的技术Demo。任职要求： 1、统招博士学历，熟悉Python等编程语言，熟悉至少一种深度学习框架；2、有生成式大模型（如stable diffusion）研究经验； 3、数学基础扎实，对科学问题有激情，喜欢钻研； 4、具有良好的沟通能力、团队精神。,2024-11-06
天津简单快乐科技,AI模型算法工程师,北京,20-30K,本科,3-5年,AI 人工智能,"职位职责1.负责大语言模型(如: Llama，Atom，百川ChatGLM等)的私有化部署；2.能根据不同大型语言模型设计调优方案，以提升模型的性能和精度，包括但不限于预训练、微调等操作；3.辅助训练数据的预处理，包括数据清洗，数据增强等；4.使用向量数据库，让大模型能进行本地知识库问答，并进行优化等操作；5.协同后端开发工程师，设计和实现模型的问答流程，配合后端进行接口开发；6.对模型的性能进行监控和评估，针对问题提出改进方案；7.编写和维护技术文档，帮助团队了解和使用模型；8.负责模型部署后的系统运营维护，包括但不限于系统监控、性能优化，确保模型部署后的稳定运行；9.为其他团队提供技术支持，解决潜在的技术问题。职位要求1.计算机科学，人工智能，NLP或相关领域的本科以上学位，或者相应的工作经验；2.至少3年的机器学习和深度学习模型开发经验；3.具备NLP大模型训练经验者优先，对包括不限于预训练、SFT、Peft、Megatron、deepspeed等有实践经验；4.熟练掌握Docker、Kubernetes等容器技术，并有实际项目经验；5.熟悉Linux系统，熟悉Python编程，编码功底扎实，具有较强的工程实现能力；6.对数据库技术有深入理解，如SQL，NoSQL，能够处理大规模文本数据库；7.熟练掌握向量数据库，如 Milvus,Faiss 等；8.熟悉 Prompt Engineering，LORA或QLORA进行模型微调，熟悉 LangChain 等框架；9.能够在快节奏的环境中自我管理，独立解决问题。10.出色的沟通技巧，能够与不同领域的团队成员合作。",2024-09-01
蚂蚁集团,大模型技术应用工程师,杭州,30-50K·16薪,本科,3-5年,GPT AIDC 基础架构 Python/Java NLP Prompt Langchain/AutoGPT AI-Infra,一、工作职责：1、参与大模型提示工程平台开发，负责人机对话交互系统的设计、实现和优化，提高系统对话的准确性和性能；2、负责大模型应用平台的和Agent框架模块的开发，结合LLM相关前沿技术进行系统探索和应用探索，攻坚工程技术难点；3、负责chat模式下人机交互产品形态的设计与和开发，以用户视角出发从产品、技术方案到应用落地，完成技术到业务的转化；4、负责收集、预处理业务场景下的训练数据，保证数据质量和多样性，可提供泛化数据收集的技术方案，对ChatGLM或内部LLM进行SFT，改进其功能和特性；5、不断学习和跟踪AI领域的最新技术和发展趋势，为基础技术架构稳定性和业务研发提效提供可行的策略；二、任职要求：1、计算机相关专业本科及以上学历，硕士博士优先，具有三年以上工作经验；2、具有扎实的Python/Java编程功底和良好的编码习惯，熟悉Apache/CNCF相关开源框架组件，具备K8S云原生技术实践经验，有分布式、多线程及高并发系统开发经验和性能调优经验尤佳；3、熟悉使用Linux常用命令和shell脚本语言，较丰富的线上系统应急运维等经验，复杂问题排查思路清晰；4、掌握GPT(1~4)、GLM等LLM的基础原理和应用，熟悉NLP并有实际业务场景应用经验，具备以下一个或多个条件者优先： - 熟悉至少一种主流深度学习框架源码，如Pytorch、Tensforflow等； - 熟悉文本理解、生成等NLP算法，有GPT类大模型优化及工程应用实践经验； - 有Langchain、Autogpt等大模型开源框架相关经验，有prompt设计和调优经验；5、关注行业和技术发展趋势，热爱学习新技术并结合业务进行过落地实践，良好的沟通协同能力，有高度的责任感、团队合作和敬业精神，具备较强的推动能力；6、优先考虑熟悉大模型训练和强化学习的候选人，具有大模型SFT经验和应用中有效解决问题的能力；,2024-08-31
BOSS直聘,高级NLP算法工程师（大模型方向 ）,北京,40-70K·16薪,本科,经验不限,C/C++ Python ChatGPT BERT GPT-3,岗位要求工作职责：1. 搭建LLM训练框架，复现GPT-3及ChatGPT同等效果；2. 构建自动文档编写以及智能助手应用，探索基于大模型和文档生成的智能化求职场景；3. 负责公司内部各类NLP场景的算法设计以及开发落地。 岗位要求：1. 计算机、电子、数学、物理等相关专业硕士以上学历；2. 具备4年以上自然语言处理工作经验；2. 熟练使用Linux工作环境，熟悉C/C++或者Python编程语言，熟练掌握各种深度学习框架；3. 熟悉经典的自然语言处理模型和基础概念（CNN、LSTM、Attention机制、Seq2Seq、Bert、GPT）；4. 具备NLP大模型训练经验者优先，如BERT、GPT-3、ChatGPT等LLM等相关经验。,2024-04-18
腾讯,大模型AI NPC算法研究员(游戏AI)(深圳),深圳,50-70K·16薪,硕士,3-5年,大模型算法,"岗位职责：1. 负责游戏领域的大语言模型优化，提升其表现；2. 负责大语言模型在游戏领域的应用，包括剧情生成、可控的NPC对话和其它生成式AI任务；3. 跟踪业界最新研究成果，提升团队在大语言模型和多模态交互算法方面的技术积累；岗位要求：1. 计算机相关专业，硕士及以上；2. 具有丰富的大语言模型研究或开发经验，在NLP、人工智能相关顶会/顶刊发表过多篇论文；3. 具有优秀的编码能力, 有扎实的数据结构和算法功底，熟悉至少一种编程语言、一个深度学习框架；4. 具备优秀的问题发现、分析和解决能力，良好的业务理解能力；5. 有技术热情、较强的持续学习能力，敢于接受具有挑战性的事情；",2024-01-08
司闻智能,大模型算法工程师,广州,15-25K·13薪,学历不限,经验不限,大模型 finetune 向量数据库,"**职位描述**：1. 紧跟学术界和工业界的最新进展，持续在大模型预训练、有监督微调、增强学习等方向进行算法、数据、评测等维度的创新和优化。2. 负责针对垂直领域功能的模型基于开源模型进行微调和优化。**职位要求**：1. 清楚理解开源模型的微调过程，具备相关的数据准备和清洗能力。2. 熟悉基础的机器学习理论及常见的预训练模型。3. 熟悉市场常见的向量模型、大语言模型及相关技术。4. 具备使用FSDP, Megatron, DeepSpeed等技术框架对Llama、InternLM等进行优化和微调的实际经验。",2024-10-30
腾讯,AIGC算法工程师,上海,30-60K·16薪,硕士,经验不限,AIGC 大模型算法 AI生成模型 Diffusion,岗位职责1.负责文生图AIGC算法研究和广告业务落地，建设&优化文生图算法Pipeline；；2.通过Prompt强化、前后置插件优化、fine-tune等方式解决文生图模型在广告场景的生成质量、可控性问题；；3.负责对前沿大模型技术进行预研，探索在广告场景落地的可能性；。岗位要求1.机器学习/计算机视觉/模式识别/图像处理等相关专业，硕士及以上学历，有相关顶会论文者优先；；2.熟练掌握机器学习&深度学习&计算机视觉算法基础；；3.熟悉常见ΑI生成模型框架，包括 GAN、 VAE、VQGAN、Diffusion等，熟悉ControlNet， LoRA，Text Inversion等生成模型插件模型； ；4.具备优秀的编码能力和逻辑思维能力，计算机专业知识扎实，熟悉数据结构和算法； ；5.具备优秀的问题发现分析与解决能力，良好的业务理解能力，团队合作与沟通能力，优秀的自驱力；。,2024-09-13
与爱为舞,AI算法工程师（大模型方向）,北京,40-70K·14薪,本科,3-5年,大语言模型 深度学习,大佬您好，无论您之前是从事算法哪个方向（大语言模型、视觉、语音、搜索、推荐、广告、安全），我们都期待您的加入！【职位描述】与业务系统和工程团队一起合作，将业界领先的 AI 技术在教育领域应用，提升用户体验和运营效率，并将业界前沿的大语言模型技术应用在教育领域，结合教育场景和数据研发垂直领域的大模型，并持续调优。【任职要求】1、计算机相关专业本科以上学历，精通至少一门语言，Java/C++/Python等，具有扎实的代码功底；2、深入理解主流深度学习算法原理及应用，具有 3 年及以上算法实践及优化经验，名校毕业的应届生也可以；3、熟悉 Tensorflow/Pytorch 等 AI 算法框架，能够在工业级系统里开发和调优分布式算法；4、良好的沟通能力和团队协作能力。【加分项：满足一项即可，多项更佳】1、在国内外一线互联网公司有通过深度神经网络、大语言模型、视觉、语音等算法提升核心业务指标（包括但不限于搜索、推荐、广告、安全等业务）的经验；2、有大语言模型预训练、微调、RLHF 实际研究或经验；3、在国内外顶级 AI 会议上发表过论文；4、在一线公司担任团队或技术负责人。应聘者您好，我们是一家AI教育公司，创始人的背景是百度，高途等知名大厂，曾是百度凤巢负责人 ，高途课堂联合创始人，CTO来自于蚂蚁，百度，高途，创始团队有从0到1，打造百亿美金上市公司的创业经验，公司是以 AIGC(生成式人工智能)为基础，垂直于教育领域打造全时、全知、 全职的 AI 老师，通过模型技术极大地降低学习成本，让人人都有一个懂自己、时时在、用得起的专属全能老师。,2024-03-16
上海更赢,大语言模型算法工程师-北京/上海,北京,60-90K·15薪,硕士,5-10年,大语言模型算法 大模型算法 大模型训练 AIGC算法,大语言模型算法工程师职位描述负责公司大模型的研发和应用，研究相关技术在相关领域的全新应用和解决方案，满足用户不断增长的智能交互需求，全面提升用户在未来世界的生活和交流方式。1、探索超大规模模型，并进行系统优化；2、数据建设、指令微调、偏好对齐、模型优化；3、相关应用落地，包括生成创作、逻辑推理、代码生成等；4、在未来生活中的更多使用场景的深入研究和探索；职位要求1、优秀的代码能力、数据结构和基础算法功底，熟练C/C++或Python，ACM/ICPC、NOI/IOI、Top Coder、Kaggle等比赛获奖者优先；2、熟悉NLP、CV相关的算法和技术，熟悉大模型训练、RL算法者优先；3、在大模型领域，主导过大影响力的项目或论文者优先；4、出色的问题分析和解决能力，能深入解决大模型训练和应用存在的问题；5、良好的沟通协作能力，能和团队一起探索新技术，推进技术进步。,2024-08-09
数洋智慧,算法工程师（天津）,天津,10-15K,硕士,1-3年,算法,岗位职责：1、根据客户的业务需求，设计算法相关技术实现方案，进行算法研究和开发、在客户侧实现模型部署、完成模型效果验证报告；2、依据公司智能产品发展路径，进行产品的研发工作，编写相关技术方案；3、负责增强分析和数据挖掘，撰写研究报告，实现业务应用；4、能够开展算法创新工作，撰写专利等，能够适应出差。岗位要求：1、计算机、数学、统计学等相关专业，应届硕士研究生;2、掌握常用的机器学习算法，包括但不限于LR，SVM，RF、GBDT、XGBoost等；3、熟练掌握常见深度学习方法，包括但不限于RNN，LSTM；4、熟练掌握Python编程语言；5、有产品化经验、有Spark开发经验和SQL开发经验的优先；6、良好的沟通能力和团队合作能力。,2024-09-17
