company,name,location,salary,edu,experience,skills,demand,发布日期
人生旷野,大模型算法实习生,北京,250-300元/天,硕士,4天/周 3个月,大模型微调 NLP 文本分类 智能对话,公司：人生旷野工作地点：酒仙桥公司简介：一家致力于AIGC应用领域的创业企业。已获得顶级机构的投资，创始团队由来自知名互联网公司的行业先锋组成，在互联网领域拥有丰富的经验和专业知识。加入我们，你将有机会向行业先锋学习，在一个充满活力的工作环境中不断成长。岗位职责：1. 负责训练数据的收集、清洗、增强；2. 对大模型进行预训练、微调等，满足特定方向的需求；3. 分析具体方向和bad case，提高准确性和可用性；岗位要求：1. 计算机相关领域研究生以上在读，25届毕业生优先；；2. 掌握NLP领域的基础理论和算法；掌握Transformer系列模型架构和原理，对预训练、微调方法有部分经验；3. 熟练使用Python语言进行编程开发，有较强的算法⼯程能力；4. 熟悉PyTorch、TensorFlow等深度学习框架；5. 每周工作4天以上，实习时间三个月以上，可长期实习者优先；,2024-04-03
浙江连信科技有限公司,LLM算法工程师,杭州,27-40K,硕士,5-10年,aigc llm chatglm llama2,职责和任务:1. 研究和改进LLM算法的训练、微调和部署，以提高其性能和效率。2. 探索AIGC的应用潜力，将其融入到我们现有的业务流程中，并找到创新的方式，为公司带来实际的商业价值。3. 实施和优化文本领域的AIGC算法，以满足公司的需求和业务目标。4. 跟踪并了解最新的LLM算法和人工智能技术发展趋势，并将其应用于公司的项目和产品中。5. 与团队成员合作，包括数据科学家、软件工程师和产品经理，共同解决技术和业务挑战。6. 设计和执行实验，评估和验证算法的性能，并提出改进措施。岗位要求:1. 拥有计算机科学、人工智能、机器学习或相关领域的硕士或博士学位。2. 具备扎实的机器学习和深度学习基础，熟悉常见的LLM算法和模型。3. 熟悉自然语言处理（NLP）、语音识别或计算机视觉等领域的算法和技术，并能灵活应用于实际问题。4. 熟悉主流的深度学习框架（如TensorFlow、PyTorch等），具备良好的编程能力（Python等）。5. 具备解决复杂问题和开展研究的能力，善于分析和解释算法的结果。6. 良好的团队合作精神和沟通能力，能够与不同背景和专业的团队成员协作。7. 对新兴技术和科技创新充满热情，持续学习和追求卓越。,2024-01-19
小米,数据中台-数据服务平台-大模型应用研发,北京,30-60K·14薪,本科,3-5年,大模型,职位描述1.负责数据服务、数据问答(AlCopilot)应用相关产品的架构设计和开发2.针对重点项目和场景，提供针对性的技术解决方案，保障交付质量3.参与数据智能化方向前沿技术的预研，探索验证在小米落地的场景职位要求1.计算机、数学等相关专业，本科以上学历，3年以上工作经验2.具备扎实的计算机基础知识，精通Python，C++语言，熟悉Linux系统3.具备一定的大模型的性能优化经验，有AICopilot类应用开发经验者优先4.具备优秀的独立分析，动手解决问题的能力，良好沟通表达能力,2024-11-07
华为,大模型算法,杭州,15-28K,本科,1-3年,昇腾芯片 华为 模型训练推理,【岗位职责】1. 基于华为昇腾计算平台进行大模型训练、部署推理，下游任务，进行模型性能和精度调优。2. 结合模型调优经验，固化总结经验，形成方法论和调优工具。3.负责开发和实现大模型的稀疏化算法，以及优化模型的推理速度和精度，【岗位要求】1. 熟悉模型推理的基础知识，了解相关模型结构以及深度学习算法基础。2.具有扎实计算机基础，熟悉体系结构，具有C++/python能力，具有良好的编程习惯，熟悉pytorch和tensorflow等主流深度学习框架。3.熟悉模型的稀疏量化算法：PTQ量化、剪枝、蒸馏、低秩分解、稀疏等算法。4.有过大模型，有过bloom，chatGLM，llama等十亿以上模型的训练、部署推理、下游任务和调优、稀疏量化等经验的优先。,2024-01-22
小米,自然语言处理算法-AI大模型应用,北京,50-80K·16薪,硕士,5-10年,AI算法 大模型 端侧部署与应用,1、参与预训练语言大模型的研发，微调和部署，包括功能实现，性能优化，和端侧部署等；2、负责以大语言模型为核心的多模态数据融合和交互；3、负责面向交互的意图理解，语义检索，知识问答和对话生成；4、负责对NLP前沿技术跟踪，探索和落地。任职要求：1、自然语言处理、机器学习相关专业；2、掌握传统NLP、深度学习NLP相关算法，并具有相关实战经验；3、熟练使用一种或几种深度学习框架（如pytorch、tensorflow等）；4、对深度学习、transformer、预训练有一定的深度理解和经验，有语言大模型研发和分布式训练经验者优先；5、在NLP相关顶级会议或者刊物，如ACL，EMNLP，COLING，NAACL等发表论文者优先。,2024-03-21
燧原科技,AI算法工程师,上海,30-60K·15薪,博士,5-10年,C++ python,"平台薪酬仅供参考，薪酬以实际面试情况等作为参考依据。团队介绍：作为国内领先且最早开始研发云端训练加速卡的芯片公司，致力于向客户提供高性能、便捷、高性价比的云端训练算力。Training团队在过去的5年多时间里，在两代训练芯片上移植、验证和调优了上百个AI基础模型和几十个AIGC大模型。涉及Pytorch、PaddlePaddle、Tensorflow、Oneflow等框架。团队技术氛围浓厚，可以接触到异构计算底层框架和技术，也可以参与大模型的基础框架的设计，还可以接触到各应用领域的前沿算法研究成果。需要理解算法层面的数学原理，也需软硬件结合把模型的性能高水平发挥出来。 团队希望你带来什么候选人作为算法开发工程师，不仅需要熟悉深度学习某个领域的前沿算法（LLM、CV、SD），也需要熟悉当前模型训练的技巧和经验（调参，训练加速），同时希望候选人有深入到系统内部的意愿和钻研精神，有能力和信心去钻研深度学习框架（如Pytorch）的架构和源码、了解MLIR的基本架构和算子的实现原理。 岗位描述：• 研究/分析各领域AI算法原理与模型结构；• 实现/移植主流AI模型到软件栈，适配设备调优性能；• 研究/实现特殊模型在自有芯片架构上性能的极致优化；• 设计/实现AI模型的模型加速技术，例如混合精度训练/大规模分布式训练/自动并行等；• 研究/实现AI模型在行业应用中的算法效果提升和业务pipeline优化；• 追踪研究AI领域和应用中的最新AI技术，输出研究报告，重现论文和公开代码中所公布的结果职位要求：• 研究生学历以上，博士优先• 6年以上AI算法经验：如LLM大模型, 文生2D/3D, 文生视频, NLP,CV, 推荐系统, 强化学习等领域• 具有AIGC相关项目经验，对ChatGPT/LLaMA/StableDiffusion等的原理和差异有深入的理解• 深入理解Megatron、DeepSpeed、Fairseq、ParallelFormers等主流的大模型训练框架设计原理• 精通Python，熟练使用C++，具备很强工程实现能力• 熟练使用pytorch、paddle、tensorflow、onnxruntime中的一种以上• 具有丰富的Linux软件分析/debug经验• 有较强的快速学习能力，良好的团队合作沟通能力以及分析解决问题能力• 具备熟练的英语阅读、写作能力；• (加分项)在微积分，线性代数，随机理论和统计学方面具有扎实的数学基础• (加分项)具有Tensorflow,Pytorch,Paddle等深度学习框架开发经验• (加分项)具有AI芯片工具链simulator/emulator/profiling等调试分析工具的开发经验• (加分项)熟练使用nvprof， nvvp等profile工具。• (加分项) 熟练掌握CUDAC，Cudnn，Cublas开发等 • (加分项)掌握MXNet，nGraph，Horovod，NCCL，TVM，Jax等AI相关的框架、工具链；• (加分项)熟悉MLCommons, AIIA,Deepbench等AI性能基准测试；• (加分项)在AI领域发表过高水准的学术论文；• (加分项)在AI竞赛及编程竞赛中获得好成绩文。",2024-01-11
上海渠恩企业管理咨询,高级算法工程师(图文大模型),上海,30-60K·15薪,硕士,1-3年,研究导向 语音/图像识别 Python C/C++ OpenCV 机器学习算法/工程化经验 深度学习经验 有国际期刊/会议论文发表 AIGC 图文大模型 深度学习,图文大模型图像生成式模型视觉自监督学习模型 没有直接经验，深度学习相关完整项目经验亦可硕士/博士应届或1-2年经验,2024-10-26
清博智能,大模型算法工程师,合肥,20-30K,硕士,1-3年,Python TensorFlow/PyTorch CNN/RNN/LSTM 计算机相关专业 机器学习算法/工程化经验 深度学习经验 大模型,1. 负责Prompt数据的构建与相关技术的探索，完成模型实验和训练策略优化2. 负责NLP LLM训练，Prompt微调，强化学习等算法研究与优化3. 负责NLP领域大模型的工程化落地，探索业界领先的大模型框架4. 负责针对特定任务的超大模型的训练、推理加速优化,2024-06-05
与爱为舞,大模型算法,北京,30-40K·14薪,本科,经验不限,大模型 算法工程师 自然语言处理 机器学习,候选人需要将业界前沿的大语言模型技术应用在教育领域，并结合教育场景和数据研发垂直领域的大模型，并持续调优。候选人需具备：1 丰富的深度学习算法研发及调优经验；2 熟悉主流NLP大语言模型的原理，有过开发及应用经验，能够对大模型进行优化及微调；3 能够在工业级系统里开发分布式算法，熟练使用深度学习框架及系统；4 在国内外一线互联网公司有大模型经验者优先。,2024-09-16
字节跳动,大语言模型算法专家——飞书AI,上海,65-95K·15薪,本科,5-10年,大模型算法 AI算法,职位描述【团队介绍】Lark AI团队负责Lark套件中的AI能力建设和落地，覆盖的传统场景包括妙记和会议字幕的语音转文字能力、飞书内的消息翻译、文档翻译以及文本输入的智能纠错功能、飞书合同智能化、以及面向办公场景的飞书企业百科。当前随着OpenAI大模型的发布，传统办公场景再次成为热点话题。Lark AI团队作为Lark套件的AI创新工作的核心团队，正在应用前沿技术推动产品化落地。1、算法研发: 在大规模机器学习和深度学习领域开展研发工作，设计和开发创新性算法模型，解决企业协同领域的实际问题；2、企业协同大模型应用: 负责将研发的算法模型应用于企业协同软件中，优化现有业务流程，提升系统性能，改进用户体验；3、数据分析与挖掘: 处理和分析大规模数据，挖掘数据中的有价值信息，为企业协同软件提供智能化支持；4、技术评估与优化: 对现有算法模型进行评估和优化，不断提升算法性能和可扩展性；5、跨团队合作: 与产品团队、工程团队和业务团队紧密合作，理解业务需求，并将算法技术转化为实际的产品和解决方案；6、技术分享与支持: 分享行业最佳实践，为团队成员提供技术支持和指导，推动整个团队的技术水平提高；7、技术趋势追踪: 持续关注业界最新的技术趋势和研究成果，将前沿技术应用于企业协同大模型中。职位要求1、计算机科学、人工智能、数据科学、数学或相关专业的硕士或博士学位；2、技术经验: 在大规模机器学习和深度学习领域有丰富的实践经验，熟悉企业协同软件相关大模型应用的经验优先；3、算法设计与实现: 精通常用的算法和数据结构，具备扎实的编程能力，熟练使用Python等编程语言；4、解决问题能力: 具备优秀的问题分析和解决能力，能够快速定位并解决技术难题；5、创新思维: 具备创新意识和钻研精神，对新技术和方法保持持续关注；6、沟通能力: 良好的沟通能力和团队协作能力，能够与不同团队高效合作，理解业务需求；7、学习能力: 对新知识有强烈的学习欲望，能够快速适应不断变化的技术环境；8、行业了解: 熟悉企业协同软件的发展和应用，了解企业协同领域的业务特点和挑战者优先。,2024-07-11
深度赋智,大模型算法工程师（实习）-厦门,厦门,250-350元/天,硕士,5天/周 4个月,LLM 大模型 GPT,团队背景：1. 团队主要由来自腾讯、百度、华为等公司的资深AI研究员、架构师构成，拥有世界尖端的AI落地经验；2. 团队成员来自于QS前100院校，包括UCB、Oxford、北大、华科、厦大等院校，水平杰出；3. 团队获得了多个世界冠军（如NeurIPS AutoDL / NeurIPS AutoWSL / KDD Cup），同时团队已发表上百篇顶会顶刊于T-PAMI、KDD、CVPR、ACL等等；4. 目前方向包括大模型（ChatGPT、LLM）、CV、NLP、推荐、搜索、决策、AI中台、AutoML等业界核心方向；岗位职责：1. 负责整体LLM的前沿动态（开闭源）跟进、技术实践和场景落地；2. 负责LLM整体技术路线，能够应用持续训练、全参微调、高效微调等技术在包含但不局限于代码生成、法律问答、智能体等下游场景中进行算法开发和场景效果优化；3. 负责LLM整体工作在产品上的整合和实际落地场景中的推理性能优化；任职要求：1. 计算机、人工智能、软件工程、数学或相关专业硕士及以上学历；2. 责任心强，有技术热情，有良好的团队沟通能力和逻辑思维能力，要善于分析和解决问题，具备问题的闭环解决能力；3. 熟练掌握至少一种编程语言Python、C/C++等，代码功底要扎实，良好的编码风格和算法设计功底；4. 熟悉使用至少一种深度学习框架（Pytorch、TensorFlow等），有包括但不局限于Megatron、DeepSpeed等分布式训练落地经验；5. 熟悉Lora、QLora等微调技术并通过GPTQ、SpQR及其他推理框架提升推理性能；6. 了解LLaMA、GLM系列等相关大模型及已有工作实现，在prompt-tuning、instruct-tuning等技术上有落地经验，熟悉大模型的加速训练、部署优化等方法的优先；7. 在LLM实际场景有解决幻觉、上下文窗口等典型问题经验以及发表过论文、专利等的可加分。,2024-02-20
拼多多,大模型算法专家,上海,35-65K·16薪,硕士,1-3年,大模型,岗位职责：负责开发和训练类chatgpt的大语言模型，提升其性能和效果分析和处理大规模数据集，优化数据预处理和数据增强技术持续关注最新的自然语言处理技术和算法，保持技术领先与团队其他成员紧密合作，将大语言模型应用到实际场景中岗位要求：本科及以上学历，计算机、人工智能、自然语言处理等相关专业有1年以上NLP相关工作经验，有大语言模型训练经验优先，熟练掌握常用深度学习算法和框架，如PyTorch等熟悉自然语言处理技术，有较强的文本处理能力有较强的数学功底和算法能力，能够独立设计和实现复杂的深度学习模型有优秀的团队合作精神和沟通能力，能够与团队其他成员有效协作我们为您提供：具有竞争力的薪资待遇和福利待遇，包括五险一金、带薪年假等优秀的团队氛围和良好的工作环境如果您有大语言模型训练经验，对自然语言处理技术充满热情并渴望加入一支充满创新和活力的团队，欢迎随时联系我们！,2024-02-16
好未来,大语言模型算法专家,北京,45-75K·14薪,硕士,5-10年,大模型算法 NLP LLM,"岗位职责：1、负责基于 LLM 的智能语音助手中的各个环节的开发和调优，包括但不限于意图识别、对话管理、指令执行、领域对话生成等关键模块；2、负责对LLM基座模型进行微调，设计微调和评估方案，提升模型在特定场景和领域的效果；3、负责将LLM 和RAG 结合来提升模型的准确率和效果；4、学习和研究业界的最佳实践，结合企业应用场景进行改进和工程化落地。岗位要求：1、在自然语言处理、深度学习或相关领域有5年以上工作经验；2、精通Python等编程语言，PyTorch等深度学习框架；3、对当前最先进的NLP技术如Transformer, BERT, GPT等有深入了解与实践经验；4、对大语言模型的微调、强化学习等有深入理解，有RAG相关经验优先；5、有技术热情和出色的持续学习能力，具备优秀的问题解决能力和创新思维，能够在快节奏环境中独立工作；",2024-06-20
爱诗科技,大模型算法工程师,北京,25-50K·15薪,本科,1-3年,NLP 多模态 深度学习,职位描述1. 负责公司大模型的研发和应用，推动相关技术落地到公司产品，包括但不限于文本生成，视频生成以及多模态生成等2. 探索基于多模态信息的Prompt Learning、内容生成技术，跟进AIGC领域前沿进展3. 与工程、产品团队深度合作，落地成熟的AIGC算法，提供极致的用户体验职位要求1. 在NLP领域有较深入的研究，包括但不限于模型预训练(文本、多模态)、LLM/ChatGPT、文本判别/抽取/生成等2. 熟练掌握Python，熟悉至少一种主流机器学习框架(PyTorch/TensorFlow)3. 熟悉常用的机器学习和深度学习算法，熟悉基本的网络模型结构(DNN/LSTM/CNN/Transformer等)和文本表征方法(Word2Vec/ELMo/GPT/BERT/BLOOM等)，在文本分类、情感分析、语法分析、机器翻译、人机对话等方面有经验者优先4. 有强烈的工作责任心，良好的团队合作精神，较好的学习能力、沟通能力和自驱力5. 有良好的工作文档习惯，及时按要求撰写更新工作流程及技术文档,2024-03-28
众星智能,2024届校招—AI大模型算法工程师,深圳,35-65K·16薪,博士,在校/应届,深度学习 NLP 强化学习,岗位职责：紧跟业界大模型相关技术，推进公司大模型工程化及业务场景落地，包括但不限于： 1. 跟进和探索大模型相关的前沿研究；2. 进行大模型在机器人领域的场景研究，结合实际场景进行大模型的效果提升等等；3. 模型预训练相关的数据处理与构造；4. 大模型性能测试；5. 参与预训练大模型、智能问答与对话生成等相关开发工作任职要求：1、计算机科学、人工智能、自然语言处理等相关领域的博士；2、熟悉常用的机器学习框架，如TensorFlow、PyTorch等；3、熟悉常用的编程语言，如Python、C++等； 4、熟练掌握机器学习、深度学习等相关算法，有大规模数据处理和分析经验5、具备良好的团队合作精神和沟通能力，能够与产品、业务团队紧密合作，为产品提供技术支持和解决方案；6、具有在国际会议和期刊上发表论文的经验和良好的学术背景者优先考虑。,2024-08-19
APUS,智能体工程师,北京,30-60K·14薪,本科,1-3年,Agent 智能体,AI技术已经发展到了智能体（Agent）阶段。我们希望与你一起构建一些真正落地的智能体，为客户创造价值，一同迎接AGI时代。岗位要求：1. 熟悉Prompt Engineering；2. 熟悉常见的Agent框架，有Agent落地经验；3. 懂业务，能理解客户需求。,2024-10-02
司闻智能,大模型算法,广州,300-400元/天,本科,4天/周 3个月,大模型,"1.参与自然语言处理相关的研发工作, 包括但不限于文本分类/聚类、命名实体识别、信息抽取、智能问答、知识图谱、语义理解等; 2.核心业务及工具产品的开发迭代工作；3.知识图谱的构建； 4.尝试新的机器学习算法、计算框架，提升系统效率。5.对垂直领域功能的模型基于开源模型进行微调；",2024-01-23
快手,多模态大模型工程师,杭州,25-35K·16薪,硕士,经验不限,无明显侧重 语音/图像识别 Python TensorFlow/PyTorch CNN/RNN/LSTM 计算机相关专业 深度学习经验 有国际期刊/会议论文发表,岗位职责职位描述:1. 负责快手多模态内容理解相关工作，包括但不限于：基于多模态的分类、标签，大规模视频预训练模型研发，跨模态语义表征和匹配等；2. 实现超大规模预训练，其中以多模态预训练为核心，同时提升预训练模型在各类下游任务效果3. 利用多模态的表征能力，在搜索、推荐、广告、风控等业务场景中进行落地，提升业务效果4. 负责计算机多模态方向前沿问题的研究，参与建设并持续保持部门在多模态业界的技术先进性，保持创新的同时将业界SOTA模型持续优化并落地至线上获得收益。岗位要求1. 相关专业硕士学历及以上2. 对CLIP、DALL·E等多模态大型预训练模型理论有深入研究者优先3. 较强的分析和解决问题的能力，对数据敏感4. 具有良好的团队协作精神和沟通能力；5. 包括但不仅限于在CVPR、SIGIR、AAAI、WWW等顶会上发表过论文者优先,2024-11-08
思必驰科技股份有,NLP大模型算法工程师,上海,25-50K·14薪,硕士,1-3年,自然语言处理项目经验,"岗位职责：1、负责NLP大模型分布式训练框架维护，能够在多个超算平台实现模型的稳定性训练；2、负责NLP大模型无监督预训练、指令微调、RLHF等算法的研究与训练策略优化；3、负责instruction tuning核心数据的构建和相关技术的探索；4、参与NLP大模型业务场景落地的方案设计；岗位要求：1. 具有自然语言处理、计算机等相关专业硕士及以上学历；2. 优秀的编程能力，熟练使用python, 熟悉主流深度学习工具Pytorch等；3. 熟悉NLP领域的前沿研究，具有丰富的研究经验，在ACL、EMNLP、NAACL、TASLP、TACL等学术会议和期刊上发表过NLP相关论文的优化；4. 熟悉分布式深度学习训练技术，具有Megatron-deepspeed调试训练5B以上模型经验优先；5. 熟悉NLP大模型的背景知识，具有指令微调经验优先；6. 善于团队合作，具有强烈的自我驱动力和良好的沟通能力；",2024-08-04
今日头条,大语言模型算法工程师-国际音乐中台,上海,40-60K,本科,经验不限,语言模型 NLP ACM,职位描述负责公司音乐相关业务的大语言模型的研发和应用，相关研发技术和解决方案在TT Music、TT、豆包、抖音、汽水音乐等产品中应用，满足音乐相关业务场景中的用户不断增长的智能交互需求，全面提升用户在音乐相关的创作和消费场景的体验。1、探索超大规模大语言模型，并进行极致系统优化；2、数据建设、预训练、指令微调、偏好对齐、强化学习；3、相关应用落地，包括对话助手、配乐推荐、音乐电台等；4、在未来生活中的更多音乐相关的使用场景的深入研究和探索。职位要求1、优秀的代码能力、数据结构和基础算法功底，熟练C/C++或Python，ACM/ICPC、NOI/IOI、Top Coder、Kaggle等比赛获奖者优先；2、熟悉NLP、Music相关的算法和技术，熟悉大模型训练、RL算法者优先；3、在大模型领域，主导过大影响力的项目或论文者优先；4、出色的问题分析和解决能力，能深入解决大模型训练和应用存在的问题；5、良好的沟通协作能力，能和团队一起探索新技术，推进技术进步。,2024-04-12
文安智能,大模型应用工程师 - 商业BI数据分析,北京,20-35K·14薪,学历不限,经验不限,大模型 BI,专注于将大模型应用于商业BI领域的数据分析，开发出能够推动业务决策的BI解决方案。主要职责：1. 利用大模型技术对商业数据进行深入挖掘和分析。2. 与数据科学家和商业分析师合作，共同研究和开发新的大模型应用。3. 优化大模型应用的性能，提高准确性和效率。任职要求：1. 本科及以上学历，计算机科学、数据科学或相关领域的学士学位。2 有大模型应用或相关领域的开发经验。3. 熟练掌握Python编程语言，熟悉至少一种深度学习框架。4. 对大模型技术有深入理解，包括但不限于自然语言处理、计算机视觉等。5. 有处理和分析大量商业数据的能力。6. 具备良好的团队协作和沟通能力。7. 对新技术保持好奇心，有持续学习和自我提升的动力。8. 有在商业领域应用大模型解决复杂数据分析问题的经验者优先。,2024-06-14
东信时代,大模型算法工程师（资深）,深圳,40-60K,硕士,3-5年,大模型 chatGPT,营赛定位作为一种营销内容洞察的SaaS产品，正积极融合AIGC及大模型技术，以满足市场的需求。营赛积累了数百亿的营销数据，拥有雄厚的技术实力，在短短三个月时间，完成了第一个营销行业大模型的开发（营赛大模型）。为了更好地用AIGC及大模型技术赋能企业营销，东信云已经跟华为盘古合作，基于盘古大模型，持续构建安全可信的营销大模型，支持生成更加精准和个性化的营销内容，能力方面未来会具备文生文、文生图、文生视频等能力。岗位职责：1.负责营销行业大模型相关算法设计与模型建设，负责核心模型训练及优化，负责或参与RLHF训练及优化，负责或参与模型微调2.使用NLP技术对社媒数据进行分析挖掘，主导或协助完成数据集构建（数据清洗、数据质量提升）3.使用向量数据库、langchain、大模型构建大模型应用服务，构建并持续完善大模型算法流水线4.跟进前沿技术发展，结合业务场景引进行业先进实践，保障技术先进岗位要求：1.硕士及以上学历，计算机、数学、人工智能等相关专业，5-8年工作经验。2.熟悉或精通基于预训练+微调的方式完成NLP模型优化，并解决实际生产的性能优化问题3.熟悉或精通对话大模型调优相关技术，包括但不限于SFT、RLHF（RM、PPO）4.有大模型相关优化经验（如ChatGLM、LLaMA、Alpaca、MOSS）5.在NLU、NLG任务上有丰富的实践经验，熟悉BERT、GPT的原理、应用及优化，有对话系统构建、搜索推荐经验者优先6.精通python，精通一种或多种深度学习框架、分布式机器学习框架（pytorch、paddle，huggingface），有良好的代码习惯7.具有优秀的分析问题和解决问题能力，具有团队精神，勇于接受挑战，对前沿技术有较高热情与探索精神,2024-09-18
百度,NLP算法工程师,北京,25-30K·16薪,硕士,在校/应届,自然语言处理,工作职责-负责文心一言app/Feed推荐相关策略和算法，打造最前沿、最有技术深度的行业领先原生ai应用和生成式模型应用-负责千亿LLM定制化迭代，包括全参数微调、PEFT、prompt工程等、并最终部署落地-负责项目沟通、技术拆解，全链路推进项目落地-探索最新LLM/CV/NLP技术，打磨产品，探索无限可能任职资格-具有以下一个或多个领域的理论背景和实践经验：机器学习/数据挖掘/深度学习/信息检索/自然语言处理/机制设计/博弈论-至少精通一门编程语言，熟悉网络编程、多线程、分布式编程技术，对数据结构和算法设计有较为深刻的理解具有以下条件者优先-熟悉文本分类、聚类、机器翻译，有相关项目经验-熟悉海量数据处理、最优化算法、分布式计算或高性能并行计算，有相关项目经验,2024-05-10
平流层,视频生成算法工程师,深圳,40-50K,硕士,5-10年,GPT AIGC 视频生成 动漫生成 3D生成 文生图 图生成 转绘,【岗位职责】1. 负责AIGC算法应用(视频和动画生成) 的开发验证和技术研发工作；2. 负责测试拆分视频和动画生成相关算法，用于下游应用；3. 结合产品需求，带领团队解决实际工作中遇到的技术问题；4. 跟进人工智能的前沿进展，将其工程化应用到公司相关产品和系统上，实现效果、性能等各方面的优化。【岗位要求】1. 研究生以上学历，人工智能、计算机、数学等相关理工科专业，具有深度学习算法基础和英文文献阅读能力；2. 从事人工智能/图像处理等相关工作时间3年以上，具备pytorch的开发经验，能力出众者可特殊考虑；3. 熟悉 GAN/Diffusion 等生成模型、了解前沿图像生成算法及产品（如 Stable diffusion）的使用及原理（加分项）；4. 代码能力出众，具备扎实的 python等编程基础，具有良好的编程风格和工作习惯；5. 思路清晰，主动性强，自驱力强，对技术有浓厚兴趣；6. 具备独立设计，开发，分析和解决问题的能力。,2024-12-23
南丹飞智科技通讯部,算法工程师,河池,15-30K·16薪,学历不限,经验不限,算法工程师 项目经理,有大模型训练·吃苦耐劳,2024-02-16
北京分子奇点智能科技,人工智能基础平台研发架构师,北京,20-40K,本科,3-5年,大模型 训练平台 基础平台 AI,"岗位职责：1. 负责高效、可靠的深度学习模型训练平台、推理平台建设。2. 负责公司GPT大模型SDK的设计、开发和持续优化。3. 为公司核心业务提供平台解决方案，针对不同业务场景提供高性能训练、推理优化加速方案，加速模型迭代、计算效率；包括并不限于大规模稀疏训练、高性能模型推理、异构计算优化等。岗位要求：1. 熟悉基础机器学习算法/深度学习原理，熟悉常见NLP、CV类算法。2. 熟悉Tensorflow、Pytorch等深度学习框架。3. 熟悉C/C++、Python、Java、GoLang等语言至少两种。4. 熟练使用Linux操作系统，熟练使用各类工具进行软件性能监测和优化。5. 计算机、数学相关专业硕士以及上统招学历，学信网可查。优先录用条件：1. 熟悉Hadoop, Docker, Kubernetes, JupyterNotebook并进行过深度的定制开发优先。2. 有大规模高并发、高可用应用的架构设计和开发运维经验优先。3. 有国产算力智算中心经验，熟悉国产GPGPU训练、推理及算力虚拟化技术优先。",2024-08-16
北京智象未来科技,大模型算法,上海,300-350元/天,硕士,5天/周 3个月,高薪实习 AIGC,实习生！【岗位职责】1. AIGC的图像算法研究，包括但不限于 Stable Diffusion、GAN、多模态等方向的内容生成研发工作；2. 基于 Stable Diffusion 的图像生成模型开发，包括算法开发、模型微调、性能优化、模型服务化等工作；3. 跟进业界AI生成技术最新进展，加速新技术的引进、适配与优化。【任职要求】1. 硕士及以上学历，计算机、人工智能、机器学习等相关专业优先；2. 对图片生成原理有一定的认知，包括不限于︰扩散模型、潜在扩散模型、对抗神经网络等；3. 熟练掌握 Python 编程能力，掌握 PyTorch 深度学习开发框架，熟悉 Linux/Unix 平台上的开发环境；4. 具备良好的英文文献阅读能力和写作能力，人工智能领域发表过国际知名会议论文的优先；5. 对于前沿技术有浓厚兴趣，在内容生成方向有较为深入的研究和探索，富有热情，自驱力强。,2024-03-02
万兴科技,算法工程师（多模态大模型）,长沙,30-50K,硕士,3-5年,大模型,岗位职责: 1、参与多模态视频大模型研发与落地，负责模型设计、实现以及性能迭代升级； 2、探索视频大模型在其他领域中的应用，包括但不限于数字人、视频剪辑、视频编辑。任职资格： 1、硕士及以上学历，3年以上算法相关开发经验，具备AIGC/AGI开发经验者优先； 2、具备扎实的机器学习/深度学习功底，熟悉BERT/GPT/Diffusion/VQ-GAN/Transformer等当前热门的CV/NLP/Audio模型，有百亿/千亿大模型分布式训练经验； 3、精通PyTorch，了解Tensorflow/Caffe等任意一种深度学习框架，并掌握DeepSpeed/NVIDIAMegatron/Ray等分布式训练框架； 4、备良好的编程能力，熟练掌握Python，掌握C++、数据结构和算法设计，熟悉Linux/Unix系统和Shell编程，熟练使用Git； 5、具备较强的团队合作和沟通能力，能够与团队成员、业务部门紧密协作，完成项目交付和技术创新。,2024-03-30
北京致敬未知科技,算法工程师（ChatGPT模型）,北京,35-55K·14薪,硕士,经验不限,计算机相关专业 自然语言处理项目经验 人机对话相关经验,职位描述：1. 负责训练和优化ChatGPT模型，提高模型性能，具备对Transformer架构及其变体的深入理解；2. 对预训练好的模型进行fine-tuning，以满足特定应用场景的需求，如对话生成、情感分析、文本分类等；3. 负责语料库的采集、整理和数据制作，以满足模型训练需求，掌握数据增强和降噪技术；4. 参与多模态（如图片等）相关的训练和调参任务，熟悉视觉-语言预训练模型（VL-BERT、ViLBERT等）；5. 跟进并了解业界最新研究成果和技术动态，持续优化模型和算法，如零样本学习、自监督学习等技术；6. 针对模型性能进行系统评估，优化模型训练策略，提高计算资源的利用效率；7. 与团队成员密切合作，共同完成项目目标，协助其他团队成员解决技术难题。职位要求：1. 研究生以上学历，计算机科学、数据科学、人工智能等相关专业；2. 熟练掌握深度学习、自然语言处理等相关领域的理论知识和技术；3. 熟悉GPT系列模型及其底层原理，有实际操作经验和相关项目经历者优先；4. 具备扎实的编程基础，熟练使用C/C++、Python，掌握PyTorch、TensorFlow等深度学习框架；5. 熟悉常见的自然语言处理和计算机视觉任务，如文本生成、语义理解、目标检测等；6. 具备良好的数据预处理和数据分析能力，熟悉主流数据处理工具如pandas、NumPy等；7. 具备较强的学术和技术沟通能力，能够高效地与团队成员合作，撰写技术文档和报告；,2024-10-23
